Ranking,University,City,State,Region,Founded,Students_count,Staff_count,Setting,Latitude,Longitude,Air_quality
1,Massachusetts Institute of Technology,Cambridge ,Massachusetts,Northeast,1861,14999,1499,Urban,42.365248,-71.105015,2
2,Harvard University,Cambridge ,Massachusetts,Northeast,1636,44999,2499,Urban,42.365248,-71.105015,2
3,Stanford University,Stanford ,California,West,1885,24999,2499,Suburban,37.437516,-122.165747,1
4,Cornell University,Ithaca ,New York,Northeast,1865,24999,2499,Urban,42.422372,-76.461572,2
5,"University of California, Berkeley",Berkeley ,California,West,1868,44999,2999,Urban,37.869058,-122.270455,2
6,Columbia University in the City of New York,New York City ,New York,Northeast,1754,34999,5000,Urban,40.713054,-74.007228,2
7,University of Michigan,Ann Arbor ,Michigan,Midwest,1817,45000,5000,Urban,42.281419,-83.748478,2
8,University of Washington,Seattle ,Washington,West,1861,45000,5000,Urban,47.603229,-122.33028,2
9,University of Pennsylvania,Philadelphia ,Pennsylvania,Northeast,1740,29999,5000,Urban,39.951061,-75.16562,2
10,University of Minnesota-Twin Cities,Minneapolis ,Minnesota,Midwest,1851,45000,4499,Urban,44.977479,-93.264346,1
11,Yale University,New Haven ,Connecticut,Northeast,1701,14999,4999,Urban,41.308252,-72.924161,2
12,"University of California, Los Angeles",Los Angeles ,California,West,1919,45000,5000,Urban,34.052238,-118.243344,2
13,Johns Hopkins University,Baltimore ,Maryland,Southeast,1876,34999,5000,Urban,39.290443,-76.612333,2
14,The University of Texas at Austin,Austin ,Texas,Southwest,1883,45000,3499,Urban,30.264979,-97.746598,1
15,New York University,New York City ,New York,Northeast,1831,45000,5000,Urban,40.713054,-74.007228,2
16,University of Wisconsin-Madison,Madison ,Wisconsin,Midwest,1848,45000,4999,Urban,43.073926,-89.385244,2
17,Purdue University,West Lafayette ,Indiana,Midwest,1869,45000,2499,Suburban,40.454773,-86.915695,2
18,Penn State University,University Park ,Pennsylvania,Northeast,1855,45000,4499,Rural,40.801899,-77.856697,2
19,Princeton University,Princeton ,New Jersey,Northeast,1746,8999,1499,Suburban,40.35198,-74.660744,2
20,Carnegie Mellon University,Pittsburgh ,Pennsylvania,Northeast,1900,19999,1499,Urban,40.442169,-79.994945,2
21,University of Southern California,Los Angeles ,California,West,1880,45000,5000,Urban,34.052238,-118.243344,2
22,University of Chicago,Chicago ,Illinois,Midwest,1891,19999,2999,Urban,41.883229,-87.632398,2
23,Arizona State University,Tempe ,Arizona,Southwest,1885,45000,2999,Urban,33.425522,-111.941253,3
24,University of Florida,Gainesville ,Florida,Southeast,1853,45000,5000,Urban,29.651958,-82.325024,1
25,Michigan State University,East Lansing ,Michigan,Midwest,1855,45000,3499,Urban,42.781472,-84.482761,2
26,"University of California, San Diego",San Diego ,California,West,1960,39999,3499,Urban,32.71576,-117.163817,4
27,University of Illinois at Urbana-Champaign,Champaign ,Illinois,Midwest,1867,45000,3499,Urban,40.116328,-88.243522,2
28,University of North Carolina at Chapel Hill,Chapel Hill ,North Carolina,Southeast,1789,34999,4999,Urban,35.910262,-79.055474,1
29,Duke University,Durham ,North Carolina,Southeast,1838,19999,4499,Urban,35.996948,-78.899023,1
30,Northwestern University,Evanston ,Illinois,Midwest,1851,29999,3499,Urban,42.052157,-87.687867,2
31,"University of California, Davis",Davis ,California,West,1905,39999,2999,Suburban,38.546421,-121.745384,2
32,Boston University,Boston ,Massachusetts,Northeast,1869,44999,3999,Urban,42.358894,-71.056742,2
